Scientific name,Common name,Conservation Plan_1,Conservation Plan_2,Conservation Plan_3,"PROGRAMS, JULIE NOTES (if conflicting with FWS program)",notes_contribute_Julie,notes_all,number of conservation agreements,total number of partners for spcies,type of agreements (source of information),Who the partners are,,,,Partners present?_CP1,notes_CP1,Partner identity CP1,partner activities CP1,CP1_docs,notes_CP2,Partners present? CP2,Partner identity _CP2 ,partner activities_CP2,CP2_docs,notes_CP3,Partners present? CP33,Partner identity _CP3,partner activities_CP3,CP3_docs
Euphydryas anicia cloudcrofti,SACRAMENTO MOUNTAINS CHECKERSPOT BUTTERFLY,,,,,,,2,9,"MOU, Conservation Plan ","Village of Cloudcroft, Otero County, Lincoln National Forest, USFWS, USFWS regional office, USFWS Ecological services New Mexico Field Office, USFS, Village of Cloudcroft",,,,4, ,"Village of Cloudcroft, Otero County, Lincoln National Forest, USFWS","Village of Cloudcroft The Village of Cloudcroft is dedicated to public outreach and education programs to promote conservation of the butterfly. The Village will encourage interested private citizens and organizations to attend meetings and participate voluntarily. The Village will work with private landowners (in cooperation with the County) to educate landowners about butterfly conservation. This includes, but is not limited to, restoration of areas and planting butterfly food and larval host plants, and communication with landowners through the local newspaper and Village Council Workshops. Outreach and educational programs are planned for the local community, within the Village of Cloudcroft and the County. The Village of Cloudcroft will share in the cost of public outreach and education. Otero County Through the CPR program, Otero County is expected to contribute $100,000 towards threatened and endangered species and the butterfly. Specifically, the County has allocated this funding in the category of science and monitoring. Forest Service Estimated costs incurred by the Forest Service associated with the butterfly efforts since 2001 have been approximately $100,000. The Forest Service will continue to allocate resources towards coordination with the USFWS on butterfly conservation. The Forest Service has conducted a biological study of the butterfly between 1999-2003 which was completed at a cost of $30,000. The Forest Service will continue to fund surveys and monitoring activities. In addition, the Lincoln National Forest has received $750,000 from the USDA to conduct forest restoration and community protection projects on the forest that will benefit the butterfly by broadening meadow habitats and clearing encroaching trees to create potential dispersal corridors. Fish and Wildlife Service The USFWS procured $13,200 for an initial research study of the effects of habitat variables, wild ungulate grazing, and gophers on the checkerspot butterfly in 2005. In addition, the USFWS procured an additional $7,300 to investigate the butterfly’s metapopulation structure for the summer of 2006. Using maps of occupied butterfly habitat prepared by the Forest Service, this study collected field data over the summer of 2005 in six canyons, three of which contain the butterfly and three that do not. Ecological variables of occupied and unoccupied canyons will be compared and interactions among the butterfly, its host plants, wild grazers, and gophers will be analyzed. At each canyon, data concerning adult and larval butterfly demographics, host and nectar plants, percent ground cover, soil characteristics, topography, and climate will be recorded. In particular, butterfly larval and adult densities and wild ungulate impacts will be compared to formulate adaptive grazing regimes that will benefit the butterfly. The Sacramento Mountains checkerspot butterfly is currently a priority for the USFWS’s Partners for Fish and Wildlife Program. This program has been working diligently with the Forest Service and non-Federal entities regarding conservation efforts related to the butterfly. For example, the Forest Service gathered P. neomexicanus seeds from sites on the Lincoln National Forest. During 2003 and 2004, the Plant Materials Center in Los Lunas, New Mexico, in cooperation with the National Resource Conservation Service, cleaned, graded, and planted P. neomexicanus seed. The Otero County Chapter of the Native Plant Society of New Mexico and the Otero County Extension Office (Master Gardener Program) have expressed interest in being “foster parents” for Penstemon plants until they are needed for community projects. In addition, these entities would like to be advocates in the community for the butterfly and its larval and nectar plants, as well as being “on-call” to assist with relocating and transplanting plants during Forest Service activities. The USFWS will continue to seek resources and funding for research, monitoring, and surveys. In addition, the USFWS will continue to allocate resources towards coordination with the partners on butterfly conservation.",https://www.fws.gov/southwest/es/NewMexico/documents/SMCB_Final_11_1_05.pdf,MOU attached as Appendix A at end of document,5,"USFWS regional office, USFWS Ecological services New Mexico Field Office, USFS, Village of Cloudcroft",Pdf pages 78-80,at end of document,,,,,
Lotus argophyllus adsurgens,SAN CLEMENTE ISLAND SILVER HOSACKIA,,,,,,,0,0,None,N/A,,,,,,,,,,,,,,,,,,
" 
Chorizanthe parryi var fernandina",SAN FERNANDO VALLEY SPINEFLOWER,#N/A,#N/A,#N/A,CCA,,Withdrawal of proposed rule was based in part on the conservation measures contained in a 2017 CCA and other conservation measures required by the state of CA.  PECE analysis completed on the CCA. Withdrawal of the proposed rule., ,,,,,,, ,Newhall Ranch Resource Management and Development Plan and Spineflower Conservation Plan:: website with links (hard to find info - I have no clue which one to use),,,https://www.wildlife.ca.gov/Regions/5/Newhall,"CANDIDATE CONSERVATION AGREEMENT FOR THE SAN FERNANDO VALLEY SPINEFLOWER - has three different exhibits (A, B, C) that are part of plan but not part of this document. Unsure where they are",2,"The Newhall Land and Farming Company, a California limited partnership (Newhall Land) and the U.S. Fish and Wildlife Service (Service)","3. SUMMARY OF CONSERVATION STRATEGY Through the SCP, the CDFW has required Newhall Land to provide for the perpetual conservation and management of seven spineflower preserves, totaling 228 acres, located within the SCP Enrolled Lands on Newhall Land property and depicted on Exhibit D to this CCA. The SCP spineflower preserves contain approximately three-quarters of the cumulative occupied spineflower habitat on Newhall Land property, totaling approximately 15.4 acres, in addition to land targeted for spineflower expansion and buffer areas intended to protect spineflower occurrence locations from development-related threats. The SCP spineflower preserves are connected to a larger system of open space and habitat, totaling approximately 10,000 acres that will be permanently conserved through implementation of the SCP and the Newhall Ranch RMDP. Newhall Land has granted conservation easements to the CDFW over all of the SCP spineflower preserves. The SCP Conservation Measures include habitat enhancement and creation measures for spineflower, and experimental introduction of spineflower in areas outside of existing occupied habitat. Newhall Land has already provided more than $4 million in endowments to fund management and monitoring of the SCP spineflower preserves, and will provide approximately $2 million more in SCP endowments as required by the ITP. Newhall Land has also provided an endowment of approximately $1.15 million under the SCP for perpetual management of the spineflower population at the former Ahmanson Ranch property, now called the Upper Las Virgenes Canyon Open Space Preserve. Together, the SCP Enrolled Lands and the Upper Las Virgenes Canyon Open Space Preserve contain and conserve both known extant populations of the spineflower. The Additional Conservation Areas are intended to further increase the distribution of the spineflower within its historic range and include approximately 1,498 acres: (1) three Additional Conservation Areas totaling approximately 825 acres are contiguous with or adjacent to the existing San Martinez Grande and Potrero spineflower preserves established under the SCP (all of which would be considered part of the Santa Clarita population); (2) an Additional Conservation Area of 357 acres is located in the Simi Valley watershed on the southern boundary of Newhall Land property in Ventura County; (3) an Additional Conservation Area of approximately 316 acres is located on Newhall Land property in the Castaic Mesa area in northern Los Angeles County, near a known extirpated population location; and (4) an Additional Conservation Area containing spineflower introduction sites is located in a portion of the Petersen Ranch Mitigation Bank adjacent to Elizabeth Lake, also near a known extirpated population location.3 In carrying out the Additional Conservation Measures as described in the Introduction Plan, Newhall Land will introduce spineflower within portions of the Additional Conservation Areas with the goal of establishing at least two new self-sustaining and persistent spineflower occurrences—at least one of which will be in a different ecoregion from the existing populations. Spineflower introduction will occur on a total of at least 10 acres within the Additional Conservation Areas. Newhall Land will also cause permanent conservation instruments to be recorded over each of the Additional Conservation Areas to ensure that spineflower habitat values are maintained.4 Newhall Land will fund all initial habitat enhancement and spineflower introduction activities within the Additional Conservation Areas, estimated at approximately $3.35 million, and will fund one or more endowments to provide perpetual management and monitoring within the Additional Conservation Areas, based on a Property Analysis Record, currently estimated at a total of approximately $4.1 million. 4. PURPOSE AND GOALS The purpose of this CCA is to provide for the implementation of the Introduction Plan and Additional Conservation Measures therein to enhance the status of spineflower populations. The Additional Conservation Measures will: x Increase the understanding of spineflower habitat requirements and life history characteristics so that population expansion and augmentation can be achieved; x Provide for expansion of existing spineflower occurrence locations and targeted introduction of spineflower in suitable habitat at additional locations within the Additional Conservation Areas, establishing at least two new self-sustaining and persistent spineflower occurrences. x Implement an adaptive management program for the introduced populations that will include enhancement, maintenance, and monitoring efforts with the intent to continue conservation efforts in perpetuity. The goal of this CCA is to contribute to ensuring that the spineflower is not in danger of extinction or likely to become so within the foreseeable future, by expanding the scope of measures to prevent, reduce and eliminate threats to the spineflower, and by increasing the number and geographic range of the species to increase its resiliency, redundancy, and representation.",https://ecos.fws.gov/docs/plan_documents/tcca/tcca_2254.pdf,,,,,
Euphilotes pallescens arenamontana,SAND MOUNTAIN BLUE BUTTERFLY,CCA,#N/A,#N/A,agency,??,"Conservation efforts by a consortium of partners (Lahontan Valley Environmental Alliance) culminated in a signed Conservation agrreement which addresses the threats to the species.  Because of these conservation efforts, we made a not-warranted 12-month finding (included an analysis under PECE for one of the conservation measures) and did not need to add to the candidate list.", ,,,,,,,,can't find any of the docs the link references (see problem shooting for full list),,,https://eplanning.blm.gov/epl-front-office/projects/nepa/119686/168238/204798/Sand_Mountain_Final_EA.pdf,,,,,,,,,,
Dudleya blochmaniae insularis,SANTA ROSA ISLAND DUDLEYA,None,#N/A,#N/A,NA,,Withdrawal of a proposed listing rule - included in a conservation agreement.,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Dudleya blochmaniae brevifolia,SHORT-LEAVED DUDLEYA,HCP,#N/A,#N/A,NA,**,Withdrawal of a proposed listing rule - included in a conservation agreement., ,,,,,,,"(note combines two areas and this species is only in the one, unsure how to count)","Carmel Mountain and Del Mar Mesa Preserves Resource Management Plan - unclear if this is implemented plan or hypothetical (seems to cover other two plans listed here and refers to management as ""guildlines"" so probably does not require full commitment","Carmel Mountain is owned by the City of San Diego with the exception of two private inholdings (Figure 2-1). Ownership of Del Mar Mesa is split among private land holders and four public land owners/managers: City of San Diego, County of San Diego (County), California Department of Fish and Wildlife (CDFW) and U.S. Fish and Wildlife Service (USFWS). Each of these entities has mandates that direct their management of open space preserves. Seven parcels on Del Mar Mesa Preserve, totaling 160.0 acres, have been preserved for mitigation by 1) the Metropolitan Wastewater Department, 2) The Environmental Trust (owned/managed by the City following the bankruptcy of The Environmental Trust), 3) Mira Mesa Market Center, 4) Environmental Services, 5) the Deer Canyon Mitigation Bank, 6) the SANDAG/CalTrans Environmental Mitigation Program (Figure 2-2), and 7) McCaw Residence.",unclear - sections 2-1 to 2-7 don't specify anything for management,https://www.sandiego.gov/sites/default/files/cm_dmm_nrmp_final_042015.pdf,San Diego Multiple Habitat Conservation Program (MHCP),,,,https://www.sandiegocounty.gov/pds/mscp/,San Diego Gas & Electric Company Subregional NCCP - unclear which documents to use,,,,https://www.wildlife.ca.gov/Conservation/Planning/NCCP/Plans/San-Diego-GE
Moxostoma sp 2,SICKLEFIN REDHORSE,#N/A,#N/A,#N/A,CCA,,"Many of the stressors that may affect the sicklefin redhorse sucker in the future can be further minimized by conservation actions carried out under the recently signed CCA among the Service, North Carolina Wildlife Resources Commission, Duke Energy Carolinas, Eastern Band of Cherokee Indians, Tennessee Valley Authority, and Georgia Department of Natural Resources.  A primary goal of the CCA is to expand the range of this species upstream of barrier dams to repopulate stream reaches that were formerly degraded, but currently appear suitable.  PECE analysis completed.  Not warranted 12-month finding/candidate removal.", ,,CCA,"North Carolina Wildlife Resources Commission, Duke Energy Carolinas, Eastern Band of Cherokee Indians, Tennessee Valley Authority, and Georgia Department of Natural Resources, USFWS ///Cooperators • Brookfield Smoky Mountain Hydro (Brookfield) • Conservation Fisheries, Inc. (CFI) • Warm Springs National Fish Hatchery (WSNFH) • North Carolina Department of Transportation //  ---> note ""In order to maximize conservation efforts and effectiveness for the Sicklefin Redhorse, the Board may recruit additional participants who will provide technical and/or funding support. Such additional participants must be approved by the Board, but the additional participants shall not be Parties to this CCA. The Board will also establish and convene Annual Meetings of a Working Group that consists of fisheries biologists or other qualified personnel. The Working Group will convene annually and will develop consensus recommendations to the Board that will guide the design and implementation of conservation actions and management strategies. The Working Group will exist for the duration of this CCA.""",,,,6??,,"North Carolina Wildlife Resources Commission, Duke Energy Carolinas, Eastern Band of Cherokee Indians, Tennessee Valley Authority, and Georgia Department of Natural Resources, USFWS ///Cooperators • Brookfield Smoky Mountain Hydro (Brookfield) • Conservation Fisheries, Inc. (CFI) • Warm Springs National Fish Hatchery (WSNFH) • North Carolina Department of Transportation //  ---> note ""In order to maximize conservation efforts and effectiveness for the Sicklefin Redhorse, the Board may recruit additional participants who will provide technical and/or funding support. Such additional participants must be approved by the Board, but the additional participants shall not be Parties to this CCA. The Board will also establish and convene Annual Meetings of a Working Group that consists of fisheries biologists or other qualified personnel. The Working Group will convene annually and will develop consensus recommendations to the Board that will guide the design and implementation of conservation actions and management strategies. The Working Group will exist for the duration of this CCA.""","Starts with ""VII. Conservation Efforts"" on page 9-15",https://www.fws.gov/asheville/pdfs/CCA%20Sicklefin%20Redhorse%20Final.pdf,,,,,,,,,,
Lepidium papilliferum,SLICKSPOT PEPPERGRASS,#N/A,#N/A,#N/A,"assuran, agency, military",***Later listed,"Withdrawal of proposed listing.  PECE analysis conducted - reviewed activities identified in five plans or conservation strategies. The five plans were: (1) CCAA (2) Idaho Army National Guard Integrated Natural Resource Management Plan for Gowen Field/Orchard Training Area; (3) U.S. Air Force INRMP for Mountain Home Air Force Base; (4) the Conservation Agreement by and between Boise City and the FWS for Allium aasea (AaseÕs onion), Astragalus mulfordiae (MulfordÕs milkvetch), and Lepidium papilliferum (slickspot peppergrass); and (5) the CCA at the Boise Airport, Idaho.  NOTE: species has been susbsequently listed",2,14,?,"Office of Species Conservation; Idaho Department of Fish & Game; Idaho Department of Lands; Idaho Army National Guard; Nongovernmental Cooperator Representative; Nongovernmental Cooperator Representative; BLM, 366th Fighter Wing Commander; 366th OG and 366th OSS; HQ ACC/A3A; HQ ACC/A7AN; Morale, Welfare, Recreation and Services; 266th RANS; MHAFB ESOHC; 366th Civil Engineering Squadron (CES):",,,,6, ,Office of Species Conservation; Idaho Department of Fish & Game; Idaho Department of Lands; Idaho Army National Guard; Nongovernmental Cooperator Representative; Nongovernmental Cooperator Representative; BLM,See Table 4. Implementation Framework Table,http://www.eswr.com/docs/1003/peppergrasscca.pdf,U.S. Air Force INRMP for Mountain Home Air Force Base,8,"366th Fighter Wing Commander; 366th OG and 366th OSS; HQ ACC/A3A; HQ ACC/A7AN; Morale, Welfare, Recreation and Services; 266th RANS; MHAFB ESOHC; 366th Civil Engineering Squadron (CES):",TABLE 1-3 General Responsibilities of Internal Stakeholders Regarding Implementation of the INRMP,https://www.mountainhome.af.mil/Portals/102/Documents/AFD-120824-035.pdf?ver=2016-03-07-143333-227,,,,,
Potentilla basaltica,SOLDIER MEADOW CINQUEFOIL,None,#N/A,#N/A,agency,,Species removed due to conservation measures and protection provided by BLM that will continue into the forseeable future.   Not warranted 12-month finding/candidate removal.,1,3+,Recovery Plan,"The Bureau of Land Management and Nevada Division of Wildlife will be assisting the U.S. Fish and Wildlife Service in implementing recovery actions. For activities occurring on private land, landowner participation is also needed.",,,,3+ private,"published in 97, still relavent?","The Bureau of Land Management and Nevada Division of Wildlife will be assisting the U.S. Fish and Wildlife Service in implementing recovery actions. For activities occurring on private land, landowner participation is also needed.",See page 41,https://esadocs.defenders-cci.org/ESAdocs/recovery_plan/970527.pdf,"Conservation measures by BLM sound collaborative - Soldier Meadows Area of Critical Environmental Concern (ACEC) In 1982, 307 acres were designated as the Soldier Meadows Area of Critical Environmental Concern to protect special natural heritage resources. The ACEC now contains 2,077 acres to protect these rare natural and cultural resources. Special rules apply to recreation and commercial uses in the ACEC. National Landscape Conservation System The Black Rock Desert-High Rock Canyon Emigrant Trail National Conservation Area is a part of the BLM's National Landscape Conservation System, a diverse program that incorporates National Scenic and Historic Trails, Wild and Scenic Rivers, Wilderness Areas, National Monuments, and Conservation Areas. The mission of the NLCS is to conserve, protect, and restore nationally significant landscapes that have outstanding cultural, ecological, and scientific values for present and future generations of Americans. Instead of protecting ""islands"" of special land, it conserves whole landscapes.", ,,,http://blackrockdesert.org/wp-content/uploads/Soldier-Meadows.pdf,,,,,
Urocitellus endemicus,SOUTHERN IDAHO GROUND SQUIRREL,assuran,#N/A,#N/A,NA,,A programmatic CCAA somewhat contributed toward the not warranted 12-month finding/candidate removal,2,7+,"CCAA, CCAA","Idaho Department of Fish and Game (JDFG), the Idaho Governor's Office of Species Conservation (OSC), and the Service (""the agencies"") /// Idaho Department of Fish and Game (JDFG), the Idaho Governor's Office of Species Conservation (OSC), and the FWS (""the agencies"") and Soulen Livestock Company Inc. (Soulen Livestock).",,,,3+ private,Southern Idaho Ground Squirrel Programmatic ,"The parties to this Agreement are the Idaho Department of Fish and Game (JDFG), the Idaho Governor's Office of Species Conservation (OSC), and the Service (""the agencies"").","see pages 9-13 // (The purpose of this Agreement is to encourage voluntary implementation of proactive conservation measures by non-Federal landowners for southern Idaho ground squirrels (Spermophilus brunneus endemicus) in Adams, Washington, Payette, and Gem Counties, Idaho, in support of the agencies' ongoing efforts to conserve the species. The conservation measures would be implemented by the agencies and participating nowFederal landowners (Participating Landowners) and would generally consist of southern Idaho ground squirrel population and habitat protection and enhancement measures. Consistent with the Service's ""Candidate Conservation Agreement with Assurances Final Policy"" (64 FR 32726), the conservation goal of this Agreement is to protect . and enhance southern Idaho ground squirrel habitat and populations on non-Federal lands within the historic range of the species in western Idaho. The conservation goal will be met by giving non-Federal landowners incentives to implement conservation measures through funding and regulatory certainty concerning land use restrictions that might otherwise apply should southern Idaho ground squirrels become listed under the ESA.",https://ecos.fws.gov/docs/plan_documents/ccaa/ccaa_302.pdf,Soulen Ranch Southern Idaho Ground Squirrel CCAA,4,"The parties to this Agreement are the Idaho Department of Fish and Game (JDFG), the Idaho Governor's Office of Species Conservation (OSC), and the FWS (""the agencies"") and Soulen Livestock Company Inc. (Soulen Livestock).",pages 7-12,https://ecos.fws.gov/docs/plan_documents/ccaa/ccaa_855.pdf,,,,,
Dudleya sp.,SP. NOV. INED. (MUNCHKIN) DUDLEYA,None,#N/A,#N/A,NA,??,Withdrawal of a proposed listing rule - included in a conservation agreement., ,,,,,,,,"indicates that there are managment plans but couldn't find them ... look here - Conservation and Management Activities Outside of the Plan Area, San Bernardino Mountains dudleya occurs in the San Bernardino National Forest under Forest Service management (CDFG 2012a). There is a memorandum of understanding (MOU) conservation strategy for pebble plain habitat that addresses San Bernardino Mountains dudleya, among other sensitive plant species that occur in pebble plain habitat on Forest Service land (USDA Forest Service 2005). Protection measures for the federally listed San Bernardino Mountains carbonate endemic plants may help protect this subspecies. The draft recovery plan for these species includes conservation and management of pebble plain habitat and also addresses the threat of limestone mining (USFWS 1997).",,,https://www.drecp.org/documents/docs/baseline_biology_report/10_Appendix_B_Species_Profiles/10e_Plant/San%20Bernardino%20Mtns%20dudleya.pdf,,,,,,,,,,
Paysonia stonensis,STONES RIVER BLADDERPOD,CCA,#N/A,#N/A,agency,**,Conservation efforts under cooperative agreements with the Tennessee Department of Environment  & Conservation and the Tennessee Wildlife Resources Agency contributed to removal from candidate status.,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Eriogonum argophyllum,SULPHUR SPRINGS BUCKWHEAT,None,#N/A,#N/A,NA,,Conservation efforts contributed to removal from candidate status.  Areas fenced off to grazing and off-highway vehicles,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Cirsium rhothophilum,SURF THISTLE,#N/A,#N/A,#N/A,military,,Conservation efforts by the Air Force for another species (western snowy plover) contributed to the decision to remove this species from candidate status.,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Pseudanophthalmus inexpectatus,SURPRISING CAVE BEETLE,CCA,#N/A,#N/A,"agency, monitor",,"An assessment found that the speciesÕ range was larger and the threats to its continued existence had decreased. In addition, Mammoth Cave National Park entered into a 15-year agreement to conserve the cave beetle and its habitat, which includes Surprising Cave and three other caves in the park. Not warranted 12-month finding/candidate removal.",0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Vulpes velox,SWIFT FOX,None,#N/A,#N/A,"agency, monitor",,"More abundant and widely distributed than previously though; more flexible in habitat requirements than originally thought; 10 State wildlife agencies have contributed to conservation efforts.  (Was a ""category 2 candidate from 1982-1996)", ,,,,,,,? (77R link should provide clarity),CONSERVATION ASSESSMENT AND CONSERVATION STRATEGY FOR SWIFT FOX IN THE UNITED STATES – 2011 UPDATE,"The SFCT was formally established in 1994 by way of a letter to the Regional Director for the USFWS Region 6 from 10 state wildlife agency directors (Colorado, Wyoming, South Dakota, Nebraska, Texas, Montana, Kansas, North Dakota, New Mexico, and Oklahoma). The state directors committed their agencies to development of a Swift Fox Conservation Strategy with specific objectives for conservation of the species and dedicated resources to achieve the strategy’s goals. The team was formed under the leadership of the Western Association of Fish and Wildlife Agencies (WAFWA). In 2005, the swift fox conservation effort was incorporated into WAFWA’s Grassland Initiative, which uses an ecosystem approach to species conservation and allows more direct coordination between WAFWA and the SFCT. The SFCT is led by representatives of the 10 state wildlife agencies and includes additional representation from federal agencies and the Canadian Swift Fox Recovery Team. Participating cooperators include interested tribes, conservation and zoological organizations, universities, and state and federal agencies. The SFCT has met nearly every year since its formation in meetings that are open to the public. Team meetings provide a forum for information exchange and discussion and for distribution of annual reports, which document progress by each partner toward CACS objectives.",pages 59-66,https://www.americanprairie.org/sites/default/files/SwiftFoxConservationAssessmentStrategy_2011.pdf,Swift fox conservation team - more monitoring by region (state) but shear size indicates that there is a lot of collaborative work going on here if interested in digging deeper,46,pages 5-9,,https://cpw.state.co.us/Documents/WildlifeSpecies/Grasslands/Swift-Fox-Conservation-Team-Report-2015-16.pdf,,,,,
Rorippa subumbellata,TAHOE YELLOW CRESS,CCA,#N/A,#N/A,agency,,"Since 1999, the Adaptive Management Working Group has developed and implemented conservation actions for Tahoe yellow cress.  A conservation strategy coupled with a memorandum of understanding/conservation agreement (MOU/CA) between numerous Federal, State, and local agencies and environmental organizations has been implemented to address the stressor to Tahoe yellow cress.  The MOU/CA was again signed in 2013 for a period of 10 years, and an updated conservation strategy is expected in 2015.  An annual monitoring plan is in place, and propagation, transplanting, and translocation strategies have been examined and successfully initiated.Based on the successful track record of numerous parties implementing these conservation actions together, ongoing implementation is managing and avoiding or mitigating identified impacts. 12-month not warranted finding/candidate removal.",2,26,"MOU, Conservation Strategy ","· California Department of Fish and Wildlife; · California State Lands Commission; · California Department of Parks and Recreation (California State Parks); · California Tahoe Conservancy; · League to Save Lake Tahoe; · Nevada Division of Forestry; · Nevada Division of State Lands; · Nevada Division of State Parks; · Nevada Natural Heritage Program; · Tahoe Lakefront Owners’ Association; · Tahoe Regional Planning Agency; · U.S. Fish and Wildlife Service; and · U.S. Forest Service, · California Department of Fish and Wildlife; · California State Lands Commission; · California Department of Parks and Recreation (California State Parks); · California Tahoe Conservancy; · League to Save Lake Tahoe; · Nevada Division of Forestry; · Nevada Division of State Lands; · Nevada Division of State Parks; · Nevada Natural Heritage Program; · Tahoe Lakefront Owners’ Association; · Tahoe Regional Planning Agency; · U.S. Fish and Wildlife Service; and · U.S. Forest Service",,,,13,Conservation Strategy for Tahoe yellow cress,· California Department of Fish and Wildlife; · California State Lands Commission; · California Department of Parks and Recreation (California State Parks); · California Tahoe Conservancy; · League to Save Lake Tahoe; · Nevada Division of Forestry; · Nevada Division of State Lands; · Nevada Division of State Parks; · Nevada Natural Heritage Program; · Tahoe Lakefront Owners’ Association; · Tahoe Regional Planning Agency; · U.S. Fish and Wildlife Service; and · U.S. Forest Service,Super detailed and scattered throughout section 7 - Regulatory framework,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd579454.pdf,MOU part of the same document,13,· California Department of Fish and Wildlife; · California State Lands Commission; · California Department of Parks and Recreation (California State Parks); · California Tahoe Conservancy; · League to Save Lake Tahoe; · Nevada Division of Forestry; · Nevada Division of State Lands; · Nevada Division of State Parks; · Nevada Natural Heritage Program; · Tahoe Lakefront Owners’ Association; · Tahoe Regional Planning Agency; · U.S. Fish and Wildlife Service; and · U.S. Forest Service,The MOU does not contain any funding obligation and the sole consequence of failure to implement this MOU/CA is the consideration by the USFWS to list the TYC under the ESA. The purpose of the MOU is to: · Ensure the implementation of conservation measures and management activities identified in this CS; · Facilitate voluntary cooperation among the signatories; · Ensure continued monitoring of TYC according to the adaptive survey strategy linked to lake level; · Describe a process to be undertaken if any signatory is unable to perform a conservation measure or management activity set forth in the CS; and · Set forth the miscellaneous provisions of the agreement..,Not actually put in the same document - should be appendix A,,,,,
Castilleja elongata,TALL PAINTBRUSH,,,,,,,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Delphinium variegatum thornei,THORNEÕS ROYAL LARKSPUR,,,,,,,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Calochortus umpquaensis,UMPQUA MARIPOSA LILY,CCA,,,,,,1,2,Conservation Agreement,"BLM, FWS",,,,2,Conservation Agreement from 2004 (the notes reference one from 1996 so the origial could be more extensive?),"BLM, FWS",/9-10,https://www.fws.gov/oregonfwo/toolsforlandowners/habitatconservationplans/ConsvAgreements/CA_Calachortus-coxii.pdf,,,,,,,,,,
Zaitzevia thermae,WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE,CCA,#N/A,#N/A,agency,,Threats removed/reduce via a FWS Conservation Strategy.  PECE analysis completed.  Candidate removal/not warranted 12-month finding,1,4+,CCA,"USFWS – Montana Ecological Services Office, USFWS – Bozeman Fish Technology Center, Montana Fish Wildlife & Parks, Montana State University (bottom paragraph of page 8 indicates that there could be additional collaboration)",,,,4+,,"USFWS – Montana Ecological Services Office, USFWS – Bozeman Fish Technology Center, Montana Fish Wildlife & Parks, Montana State University (bottom paragraph of page 8 indicates that there could be additional collaboration)",pages 8-10,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_676.pdf,,,,,,,,,,
Urocitellus washingtoni,WASHINGTON GROUND SQUIRREL,HCP,assuran,#N/A,"military, monitor",**,"There are current management actions, policies, and protections in place that have substantially reduced or eliminated stressors to the Washington ground squirrel and will continue to do so in the future. The 25-year Threemile Canyon Farms Multi-Species CCAA (MSCCAA), signed in 2004, included the implementation of habitat management, operational modifications, and conservation measures for four unlisted species, including the Washington ground squirrel, on approximately 37,636 ha (93,000 ac) of habitat. This dramatically reduced agricultural development in Washington ground squirrel habitat and was part of an overall decline in the conversion of shrub-steppe to agricultural use in recent years. Also evaluated a future conservation effort in connection with military readiness activities at NWSTF Boardman under PECE  The final environmental impact statement (FEIS) completed in December 2015, and record of decision (ROD) signed on March 31, 2016, confirm the NavyÕs commitment to implement conservation efforts that eliminate or reduce threats to Washington ground squirrels from military readiness activities on the 19,020 ha (47,000 ac) of NWSTF Boardman through a combination of BMPs, mitigation, monitoring, and adaptive management.",2,7+,"HCP, CCAA","The Foster Creek Conservation District (FCCD), in cooperation with the South Douglas Conservation District and involving agricultural landowners and other stakeholders, began developing a Habitat Conservation Plan (HCP) for agricultural activities in Douglas County in 1999.  /// Threemile Canyon Farms The Nature Conservancy Portland General Electric U.S. Fish and Wildlife Service Oregon Department of Fish and Wildlife",,,,2+,Douglas County Multiple Species General Conservation Plan (Foster Creek Conservation District),"The Foster Creek Conservation District (FCCD), in cooperation with the South Douglas Conservation District and involving agricultural landowners and other stakeholders, began developing a Habitat Conservation Plan (HCP) for agricultural activities in Douglas County in 1999. ","listed in section 4.0—Responsibilities of Each Signee A-3 to A-6 (not this is for the MOU, but clear if also pertains to the other plan) // for landowners 57-58 // also see pages 71-81 for breakdown for what partners are doing (*this is the best info)\",https://ecos.fws.gov/docs/plan_documents/thcp/thcp_1314.pdf,Three Mile Canyon Farms Multi Species CCAA,5,Threemile Canyon Farms The Nature Conservancy Portland General Electric U.S. Fish and Wildlife Service Oregon Department of Fish and Wildlife,7 CONSERVATION COMMITMENTS AND RESPONSIBILITIES OF THE PARTICIPATING PARTIES on page 52,https://ecos.fws.gov/docs/plan_documents/ccaa/ccaa_231.pdf,Closet I could find to Boardman navy agreement (one 1 page doc),,,,https://www.repi.mil/Portals/44/Documents/Current%20Year%20Fact%20Sheets/Boardman.pdf
Polemonium pectinatum,WASHINGTON JACOB'S-LADDER,CCA,#N/A,#N/A,NA,,"Minor threats were reduced by a conservation agreement aimed at reducing the populations of noxious weeds. Thus, the species was removed from candidate status.",0,0,None,N/A,,,,, ,,,,,,,,,,,,,
