Scientific name,Common name,agreement number ,partner in agreement,Note if plan is management area (and relevance to the species if information is present),Programatic (Y/N),type of partners,doc link,notes on actions taken (from notes tab),Don't know how to categorize action - dump text here,1. Land/Water Management,2. Species Management,3. Awareness raising,4. law enforcement and prosecution,"5. livelihood, economic and moral incentrives",6. Conservation Design and Planning,7. Legal and Policy frameworks,8. Research and monitoring,9. Education and Training,10. Institutional Development,funding ,
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,doc 1 ,BLM,,,S,https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf, ,,"Designate routes ""open,"" ""closed, or limited."" Give route signing a priority / Limit camping in Mas",,,,,Designate Yuha Desert Management area,,,,,,
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,doc 1 ,Bureau of Reclamation,,,S,https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf, ,,,,,,,,,,,,,
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,doc 1 ,** I think this refers to all: ICC Interagency Coordinating Committee,,,M,https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf, ,,,,,,,,,,,,,
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,doc 1 ,California Department of Fish and Game,,,S,https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf, ,,,,,,,,,,,,,
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,doc 1 ,Ocotillo Wells State Vehicular Recreation Area,,,?,https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf, ,,Allow OHV recreation in RA,,,,,Allow OHV recreation in RA,,,,,OWSVRA shall continue to fund research,
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,doc 1 ,USFWS,,,S,https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf, ,,,,,,,,,,,,,
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,doc 1 ,U.S. Marine Corps,,,S,https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf, ,,,,,,,,,,,,,
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,doc 1 ,U.S. Navy,,,S,https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf, ,,,,,,,,,,,,,
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,doc 1 ,California Department of Parks and Recreation,,,S,https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf, ,,,,,,,,,,,,,
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,doc 1 ,ALL (all parties),,,M,https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf, ,,"Require fencing along Yuma Desert MA boundary road / All under: ""Define and implement actions necessary to minimize loss or degradation of habitat"" so can place in 1? [Apply mitigation measure / Require compensation / Limit discretionary land uses authorizations and rows to 10 acres and 1% total per Management Area / Do not dispose of lands in Management areas / Continue maintenance in existing right of ways / Limit surface disturbance from mineral activities in MAs / Reduce new roads to a minimum in MA / No competitive recreational events in MAs / Allow non-motorized recreational activities in MAs, but no new recreational facilities / No new long-term visitor areas in MAs/ Authorize limited use of flora in MAs/ Suppress fires in MAs using limited fire suppression methods in MAs / Prohibit pesticide treatments in MAs / Limit other activities consistent with above] // ", ,,"All under: ""Define and implement actions necessary to minimize loss or degradation of habitat"" so can place in 1? [Apply mitigation measure / Require compensation / Limit discretionary land uses authorizations and rows to 10 acres and 1% total per Management Area / Do not dispose of lands in Management areas / Continue maintenance in existing right of ways / Limit surface disturbance from mineral activities in MAs / Reduce new roads to a minimum in MA / No competitive recreational events in MAs / Allow non-motorized recreational activities in MAs, but no new recreational facilities / No new long-term visitor areas in MAs/ Authorize limited use of flora in MAs/ Suppress fires in MAs using limited fire suppression methods in MAs / Prohibit pesticide treatments in MAs / Limit other activities consistent with above] // ", ,Maintain or establish effective habitat corridors between naturally adjacent populations,Require permits for research,Conduct research necessary to effectively define and implement necessary management actions / Continue inventory and monitoring,Provide public information and education,Coordinate with U.S. Border patrol / Coordinate activities and funding among the participating agencies and Mexican agencies,,
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,doc 1 ,"BLM, Bureau of Reclamation, U.S. Marine Corps ",,,M,https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf, ,,,,,,,Designate Yuma Desert Management are,,,,,,
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,doc 1 ,"BLM, U.S. Navy",,,M,https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf, ,,,,,,,Designate East Mesa Management area / Designate West Mesa Management area,,,,,,
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,doc 1 ,"BLM, Ocotillo Wells State Vehicular Recreation Area, Anza-Borrego Desert State Park",,,M,https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf, ,,,,,,,Designate Ocotillo Wells Research Area,,,,,,
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,doc 1 ,"BLM, USFWS, California Department of Fish and Game",,,M,https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf, ,,,,,,,Designate conservation areas in Coachella Valley,,,,,,
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,doc 1 ,"U.S. Navy, U.S. Marine Corps",,,M,https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf, ,,Allow military maneuvers and encampments only in designated sites in MAS,,,,,,,,,,,
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,doc 1 ,"BLM, Bureau of Reclamation, Anza-Borrego Desert State Park, U.S. Marine Corps, U.S. Navy",,,M,https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf, ,,Rehabilitate damaged and degraded habitat in MAs,,,,,,,,,,,
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,doc 1 ,"BLM, California Department of Fish and Game, Anza-Borrego Desert State Park, Ocotillo Wells State Vehicular Recreation Area",,,M,https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf, ,,,,,,,acquire key lands in MAs,,,,,"Procure funds for land acquisitions in MA s (37,600 acres of private lands acres in California MAs at $250 per acre", 
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,doc 1 ,"BLM, Bureau of Reclamation",,,M,https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf, ,,,,,,,,,,Prepare educational briefing for BP agent,Coordinate with U.S. BP and develop mutual agreements, ,
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,doc 1 ,"BLM, California Department of Fish and Game, Arizona Game and Fish Department",,,M,https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf, ,,,,,Provide adequate law enforcement,,,,,,,,
Dalea tentaculoides,GENTRY'S INDIGOBUSH,,Tohono O’odham Nation,,,G,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/Gentry/Dalea%2012-month%20QnA.pdf,"Unclear if these actions have been taken ad by whom - The Service will, hopefully, have the opportunity to work cooperatively with the Tohono O’odham Nation to census their populations and address livestock management concerns, if any.",,1,1,,,, ,,,,,,
Dalea tentaculoides,GENTRY'S INDIGOBUSH,,USFWS,,,G,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/Gentry/Dalea%2012-month%20QnA.pdf,"The Service will, hopefully, have the opportunity to work cooperatively with the Tohono O’odham Nation to census their populations and address livestock management concerns, if any.",,1,1,,,, ,,,,,,
Astragalus anserinus,GOOSE CREEK MILKVETCH,doc 1 ,USFWS,,,S,https://www.fws.gov/utahfieldoffice/Documents/Goosecreek_milkvetch/latestnewswebpageforgoosecreekmilkvetch/Goose%20Creek%20milkvetch%20Conservation%20Agreement.pdf,All conservation actions seem to be conducted and carried out by BLM - unclear what the role of FWS is,,,,,,,,,,,,Provided by both ,
Astragalus anserinus,GOOSE CREEK MILKVETCH,doc 1 ,BLM,,,S,https://www.fws.gov/utahfieldoffice/Documents/Goosecreek_milkvetch/latestnewswebpageforgoosecreekmilkvetch/Goose%20Creek%20milkvetch%20Conservation%20Agreement.pdf, ,,1,1,,,,,,,,,Provided by both ,
Pseudanophthalmus pholeter,GREATER ADAMS CAVE BEETLE,doc 1 ,Southern Conservation Corporation,,,C,https://www.fws.gov/southeast/pdf/agreement/candidate-conservation-agreement-with-assurances/adams-cave-beetle.pdf, ,,maintain metal gate at the enterance of cave,,,,,Maintain enrolled property in a natural state,,,,Provide the service access to the cave,,
Pseudanophthalmus pholeter,GREATER ADAMS CAVE BEETLE,doc 1 ,USFWS,,,S,https://www.fws.gov/southeast/pdf/agreement/candidate-conservation-agreement-with-assurances/adams-cave-beetle.pdf, ,,,,,,,,,,,ensure proper implementaton,,
Pseudanophthalmus pholeter,GREATER ADAMS CAVE BEETLE,doc 2,parties mutually agree to… ,,,M,https://www.fws.gov/southeast/pdf/agreement/candidate-conservation-agreement-with-assurances/adams-cave-beetle.pdf, ,,,,,,,,,,,,,
Horkelia hendersonii,HENDERSON'S HORKELIA,doc 1,USFS,note same agreement as ashland lupine,,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_304.pdf, ,,The USFS agrees to – manage the summit and open slopes of Mt. Ashland to protect existing populations of Mt. Ashland lupine and Hederson’s horkelia. Population levels need to be maintained to snsure that loss of a few individuals to minor disturbances will have no effect on the future viability of both Mt. Ashlan populations. // The USFS agrees to – manage habitat for Henderson’s horkelia in the Dutchman Peak/Jackson Gap/Observation Peak area in a manner that maintains the viability of this large complex of Henderson’s horkelia patches and sub-populations. Sufficient population levels need to be maintained to ensure that loss of a few individuals to minor disturbances has no effect on the future viability of the Henderson’s horkelia in this vicinity.  // The USFS agrees to – manage occupied Henderson’s horkelia habitat along the McDonald ridge and Dry Lake in a manner that is not detrimental to the Henderson’s horkelia. Population levels in these small occurrences may decline or extirpation may occur due to random events or environmental factors beyond the control of the USFS // note- there are more specific conservation activities listed in the document but I couldn’t copy and paste the text,"Implicitly, yes ",,,,,,,,,,
Horkelia hendersonii,HENDERSON'S HORKELIA,doc 1,USFWS,,,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_304.pdf, ,,,,,,,,,,technical assistance in monitoring,"Inform Rogue River and Klamath National Forests of new FWS activities that involve Mt. Ashland lupine and Henderson's horkelia or that affects this conservation agreement // Forward information received from outside sources, about these species, to the USFS // ","Cooperate in cost haring of studies and similar actions specific to this conservation agreement, as allowed by funding",
Horkelia hendersonii,HENDERSON'S HORKELIA,doc 2,Oregon Plant Conservation Program ,,,X - interested party ,,,,,,,,,,,,,,,
Horkelia hendersonii,HENDERSON'S HORKELIA,doc 3,Oregon Natural Heritage Program ,,,X - interested party ,,,,,,,,,,,,,,,
Pediocactus paradinei,KAIBAB PLAINS CACTUS,doc 1,USFS,,,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1452.pdf,"can't c&p but if need to be typed up, can do so",,1,,,,,,1,,,,,
Pediocactus paradinei,KAIBAB PLAINS CACTUS,doc 2,BLM,,,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1452.pdf, ,,1,,,,,,,,,,,
Pediocactus paradinei,KAIBAB PLAINS CACTUS,doc 3,USFWS,,,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1452.pdf, ,,1,,,,,,,,,1,1,
Iotichthys phlegethontis,LEAST CHUB,doc 1,Utah Division of Wildlife Resources ,,,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1002.pdf,"Refers to strategy in some of party specific conservation actions, but don't know what part of strategy pertains to that particular partner, so for the two cases where this occurred left in section 1 land/water management. This also means that all the actions from the category probably haven't been accounted for",,,,,Implement and enforce specific state statues and wildlife codes that protects and prohibits the collection and/or implementation.. , ,,,Inventory and monitoring ,,Provides a representative to conservation team,,
Iotichthys phlegethontis,LEAST CHUB,doc 1,Bureau of Reclamation,,,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1002.pdf, ,,cooperate and assist in eradication/control of invasive species, ,,,,Consider impacts of Reclimation management plans on least chub and their habitat and take measures to avoid and/or mitigate such impacts whenever possible within the contraints of Reclaimation policy and authority  ,,surveys and monitoring,,Provides a representative to conservation team,,
Iotichthys phlegethontis,LEAST CHUB,doc 1,BLM,,,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1002.pdf, ,,Maintain and improve habitat and populations of the least chub on BLM landsthrough AM and mitigation on BLM lands,Maintain and improve habitat and populations of the least chub on BLM landsthrough AM and mitigation on BLM lands, ,,,,,Conduct review of BLM lands to see if any habitat is suitable for least chub,,Provides a representative to conservation team,,
Iotichthys phlegethontis,LEAST CHUB,doc 1,Utah Reclamation Mitigation and Conservation Commission,,,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1002.pdf, ,,To protect least chub populations and suitable habitat on Mitigation commission owned lands throgh appropriate management plans,To protect least chub populations and suitable habitat on Mitigation commission owned lands throgh appropriate management plans, ,,,"To protect least chub populations and suitable habitat on Mitigation commission owned lands throgh appropriate management plans/ To incorporate least chub conservation actions to the appropriate Mitigation Commsission programs, as described in the current Mitigation Commission's Final Mitigation and Conservation Plan", ,,,Provides a representative to conservation team,,
Iotichthys phlegethontis,LEAST CHUB,doc 1,USFWS,,,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1002.pdf, ,,,,,,,,"Provide funding through the ESA Section 6 Process to the conservation team and/or involved states for implementation of the agreement/ To review and provide comments for any projects federally authorized, funded, or carried out that may impact the least chub, and under authority of the Fish and Wildlfie coordination act, on projects requiring a clean water act section 404 permit issued by the US Amy Corps of engineers or on water developments created by the Bureau of reclamation or by private water development projects regulated under the federal energy regulatory commission", ,,Provides a representative to conservation team / coordinate and assist other Federal agencies to protect least chub from land and water altering activities on Service lands that may habor least chub,Provide funding through the ESA Section 6 Process to the conservation team and/or involved states for implementation of the agreement, 
Iotichthys phlegethontis,LEAST CHUB,doc 1,Central Utah Water Conservancy District,,,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1002.pdf, ,,Work in cooperation with the state of Utah and other parties to this agreement to implement actions identifed in the strategy , ,,,,Consider possible impacts of District activities and plans on least chub and their habitat and avoid and/or mitigate such impacts whenever possible within the constraints of District policy and authority ,,,,Provides a representative to conservation team/ Work in cooperation with the state of Utah and other parties to this agreement to implement actions identifed in the strategy ,,
Iotichthys phlegethontis,LEAST CHUB,doc 1,Confederated tribes of the goshute reservation,,,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1002.pdf, ,,Maintain and improve habitat and populations of the least chub through adaptive mangement and mitigation on tribal lands,Maintain and improve habitat and populations of the least chub through adaptive mangement and mitigation on tribal lands, ,,,,,conduct a review of Tribal lands in Utah which may occur withint historic range of least chub to determine if any lands contain suitable habitat for least chub ,,Provides a representative to conservation team,,
Iotichthys phlegethontis,LEAST CHUB,doc 1,Southern Nevada Water Authority,,,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1002.pdf, ,,Work in cooperation with the state of Utah and other parties to this agreement to implement actions identifed in the strategy , ,,,,Consider possible impacts of SNWA activities and plans on least chub and their habitat and avoid and/or mitigate such impacts whenever possible within the constraints of SNWA policy and authority ,,,,Provides a representative to conservation team,,
Pseudanophthalmus catorycetes,Lesser Adams cave bettle ,doc 1 ,Southern Conservation Corporation,,,C,https://www.fws.gov/southeast/pdf/agreement/candidate-conservation-agreement-with-assurances/adams-cave-beetle.pdf, ,,maintain metal gate at the enterance of cave,,,,,Maintain enrolled property in a natural state,,,,Provide the service access to the cave,,
Pseudanophthalmus catorycetes,Lesser Adams cave bettle ,doc 1 ,USFWS,,,S,https://www.fws.gov/southeast/pdf/agreement/candidate-conservation-agreement-with-assurances/adams-cave-beetle.pdf, ,,,,,,,,,,,ensure proper implementaton,,
Pseudanophthalmus catorycetes,Lesser Adams cave bettle ,,parties mutually agree to… ,,,M,https://www.fws.gov/southeast/pdf/agreement/candidate-conservation-agreement-with-assurances/adams-cave-beetle.pdf, ,,,,,,,,,,,,,
Oncorhynchus mykiss ssp.,MCCLOUD RIVER REDBAND TROUT,doc 1 CCA,USFWS,,,S,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf, ,,,,,,,,,,,,,
Oncorhynchus mykiss ssp.,MCCLOUD RIVER REDBAND TROUT,doc 1 CCA,USFS,,,S,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf, ,,Off-channel stock water development,0,0,0,0,Maintain in-stream structures // Ensure compliance with Allotment Management Plans,0,0,0,0,0,
Oncorhynchus mykiss ssp.,MCCLOUD RIVER REDBAND TROUT,doc 1 CCA,Califonia Department of Fish and Game,,,S,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf, ,,0,0,0,0,0,0,0,Population Trend Monitoring for Effectiveness of Conservation Actions/ Continue with genetic analysis - Is this species management or research? ,0,0,0,
Oncorhynchus mykiss ssp.,MCCLOUD RIVER REDBAND TROUT,doc 1 CCA,John Hancock Mutual Life Insurace Company,,,S,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf, ,,0,0,0,0,0,0,0,0,0,0,0,
Oncorhynchus mykiss ssp.,MCCLOUD RIVER REDBAND TROUT,doc 1 CCA,Bob McIntsh (Private landowner),,,S,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf, ,,0,0,0,0,0,0,0,0,0,0,0,
Oncorhynchus mykiss ssp.,MCCLOUD RIVER REDBAND TROUT,doc 1 CCA, Sierra Pacific Industries,,,S,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf, ,,0,0,0,0,0,0,0,0,0,0,0,
Oncorhynchus mykiss ssp.,MCCLOUD RIVER REDBAND TROUT,doc 1 CCA,Hearest Corporation,,,S,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf, ,,0,0,0,0,0,0,0,,,0,0,
Oncorhynchus mykiss ssp.,MCCLOUD RIVER REDBAND TROUT,doc 1 CCA,Siskiyou County Board of Supervisors,,,S,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf, ,,0,0,0,0,0,0,0,0,0,0,0,
Oncorhynchus mykiss ssp.,MCCLOUD RIVER REDBAND TROUT,doc 1 CCA,"USFS, Private landowners",,,M,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf,Project name: Off-stream water drafting (from table 5) ,,Off-stream water drafting,0,0,0,,"Develop plan for road closures // Maintain stream crossing structures, i.e. culverts and bridges",0,0,0,0,"cost estimate 20,000 + 5,000",
Oncorhynchus mykiss ssp.,MCCLOUD RIVER REDBAND TROUT,doc 1 CCA,??Redband Core Group (unspecified who makes up),,,M,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf,The Redband Core Group is a collection of agency and private landowner representatives charged with the management and protection of the McCloud redband trout,,0,0,0,0,0,Develop watershed improvement and monitoring plan // Develop flood contingency plan // Develop drought contingency plan // Develop action and monitoring plan to remove nonnative fish within the refugium// Develop a bioenhancement plan for the population recovery in the event of major habitat loss or destruction. The plan will include the conditions that trigger implementation // Develop a drought contingency plan to guide future intrabasin transfers of McCloud redband. The plan will include conditions that trigger implementation.//,0,Assess whether fish stocking is appropriate within the refugium and then develop an action and monitoring plan // Habitat Condition Monitoring for Effectiveness of Conservation Actions // Compliance Monitoring of the Conservation Agreement,0,Establish criteria to determine whether goals of conservation strategy have been met (genetic integrity and long-term viable population),0,
Oncorhynchus mykiss ssp.,MCCLOUD RIVER REDBAND TROUT,doc 1 CCA,"USFS, Califonia Department of Fish and Game, Private Landowners",,,M,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf, ,,0,0,0,0,0,Maintain existing fencing around streams where needed,0,0,0,0,0,
Oncorhynchus mykiss ssp.,MCCLOUD RIVER REDBAND TROUT,doc 1 CCA,"Califonia Department of Fish and Game, Redband Core Group",,,M,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf, ,,0,,0,0,0,0,Continue to protect putative McCloud redband through the use of angling regulations,0,0,0,0,
Cordylanthus nidularius,MT. DIABLO BIRDÕS-BEAK,doc 1,Mount Diablo State Park ,Conserved because entire population of the species is located within state park (passive conservation management),,,,,,,,,,,1,,,,,,
Sylvilagus transitionalis,NEW ENGLAND COTTONTAIL,doc 2 CCAA NH,EDF,,Y,X,https://ecos.fws.gov/docs/plan_documents/ccaa/ccaa_873.pdf, ,,0,0,0,0,0,0,0,0,0,0,0,
Sylvilagus transitionalis,NEW ENGLAND COTTONTAIL,doc 2 CCAA NH,New Hampshire Fish and Game,,Y,S,https://ecos.fws.gov/docs/plan_documents/ccaa/ccaa_873.pdf, ,,to implement management measures beneficial to the conservation of the NEC., ,encourage and assist property owners in the State of New Hampshire (a) to become Cooperators pursuant to this CCAA and (b) to implement management measures beneficial to the conservation of the NEC, ,,The NHFGD agrees to develop cooperative agreements in accordance with the standards of this CCAA.,"The NHFGD agrees to monitor, confer with the Service, and timely suspend or revoke the CI of any Cooperator that does not carry out the terms of the cooperative agreement.", ,,"The NHFGD agrees to enter into cooperative agreements with property owners who choose to become Cooperators, to monitor and report periodically to the Service on the status of such cooperative agreements, and generally to assist the Service in implementing and administering this CCAA", ,
Sylvilagus transitionalis,NEW ENGLAND COTTONTAIL,doc 2 CCAA NH,USFWS,,Y,S,https://ecos.fws.gov/docs/plan_documents/ccaa/ccaa_873.pdf, ,,,,,,,,"agrees to issue NHFGD a Permit under section 10(a)(1)(A) of the ESA, 50 CFR §§ 17.22(d), 17.32(d), and the Service’s CCAA Policy. Such permit, and the Certificate of Inclusion that NHFGD will issue to each Cooperator upon entering into a cooperative agreement, shall extend to Cooperators specified rights with respect to the incidental taking of the NEC.", ,,"The Service will confer with NHFGD during the development of the cooperative agreement and CI, and to make a good faith effort to resolve any differences with the NHFGD prior to issuance.", ,
Sylvilagus transitionalis,NEW ENGLAND COTTONTAIL,doc 3 CCAA ME,cooperator,,Y,??,https://ecos.fws.gov/docs/plan_documents/ccaa/ccaa_1275.pdf,detailed in a separate document (need to decide how to make this uniform if every document doesn't have individual info),,,,,,,,,,,,,
Sylvilagus transitionalis,NEW ENGLAND COTTONTAIL,doc 3 CCAA ME,Maine Department of Inland Fisheries and Wildlife,,Y,S,https://ecos.fws.gov/docs/plan_documents/ccaa/ccaa_1275.pdf,Tabel 1 documents the expected conservation benefit of implementing conservation measure but this is not reflected in the actions of the different parties,,to implement management measures beneficial to the conservation of the NEC., ,encourage and assist property owners in the State of Maine (a) to become Cooperators pursuant to this CCAA and (b) to implement management measures beneficial to the conservation of the NEC, ,,The MDIFW agrees to develop cooperative agreements in accordance with the standards of this CCAA.,"The MDIFW agrees to monitor, confer with the Service, and timely suspend or revoke the CI of any Cooperator that does not carry out the terms of the cooperative agreement.", ,,"The MDIFW agrees to enter into cooperative agreements with property owners who choose to become Cooperators, to monitor and report periodically to the Service on the status of such cooperative agreements, and generally to assist the Service in implementing and administering this CCAA", ,
Sylvilagus transitionalis,NEW ENGLAND COTTONTAIL,doc 3 CCAA ME,USFWS,,Y,S,https://ecos.fws.gov/docs/plan_documents/ccaa/ccaa_1275.pdf, ,,,,,,,,"agrees to issue MDIFW a Permit under section 10(a)(1)(A) of the ESA, 50 CFR §§ 17.22(d), 17.32(d), and the Service’s CCAA Policy. Such permit, and the Certificate of Inclusion that MDIFW will issue to each Cooperator upon entering into a cooperative agreement, shall extend to Cooperators specified rights with respect to the incidental taking of the NEC.", ,,"The Service will confer with MDIFW during the development of the cooperative agreement and CI, and to make a good faith effort to resolve any differences with the NHFGD prior to issuance.", ,
Sylvilagus transitionalis,NEW ENGLAND COTTONTAIL,doc 3 CCAA ME,EDF,,Y,X,https://ecos.fws.gov/docs/plan_documents/ccaa/ccaa_1275.pdf, ,,,,,,,,,,,,,
Pyrgulopsis morrisoni,PAGE SPRINGSNAIL,doc 1 CCAA,Arizona Game and Fish Department,,Y,S,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/PageSpringsnail/Page%20springsnail%20CCAA_Final_Wsignature.pdf, ,,"Routine AGFD hatchery maintenance activities will be conducted in a manner that will not significantly affect Page springsnails or their habitat. When hatchery activities (e.g., maintenance, renovations, modifications) are conducted that will significantly affect Page springsnails and their habitat, hatchery personnel will notify the AGFD Nongame Native Fish/Invertebrate Program Manager at least 30 days in advance to allow for alternative management activities, or to determine appropriate mitigation to offset any negative affects to the species /  Chemicals will be applied with the best available knowledge and used in compliance with labeled usage to limit or avoid damaging habitat and known populations of Page springsnails (Table 1).","AGFD will immediately notify USFWS and other cooperators if significant, unnatural declines in Page springsnail populations or significant changes in habitat occur", ,,, ,,,,,,
Pyrgulopsis morrisoni,PAGE SPRINGSNAIL,doc 1 CCAA,unspecified landowner ,,Y,P,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/PageSpringsnail/Page%20springsnail%20CCAA_Final_Wsignature.pdf, ,,"The landowner will coordinate with USFWS and AGFD on land modifications, land uses, and water uses that might affect Page springsnail populations, their habitat, or potential habitat. Habitat or potential habitat includes: spring heads, spring outflow areas, spring-fed ponds, and spring-fed streams./ The landowner will not spray or deposit harmful chemicals (e.g., chlorine, herbicides, fertilizers) in the areas in ways that will affect Page springsnail populations, their habitat, or potential habitat.",The landowner agrees to allow USFWS and AGFD to introduce Page springsnails into sites on their property if suitable habitat exists., ,,, ,,The landowner will allow USFWS and AGFD biologists to survey and monitor sites for the Page springsnail.,, ,,
Pyrgulopsis morrisoni,PAGE SPRINGSNAIL,doc 1 CCAA,USFWS,***don't feel like this is a complete list of actions --> others scattered through out doc? USFWS def has actions,Y,S,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/PageSpringsnail/Page%20springsnail%20CCAA_Final_Wsignature.pdf, ,,,,,,,,,,,,,
Pyrgulopsis morrisoni,PAGE SPRINGSNAIL,doc 1 CCAA,"Arizona Game and Fish Department, USFWS ",,Y,M,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/PageSpringsnail/Page%20springsnail%20CCAA_Final_Wsignature.pdf, ,,,,,,,,,"AGFD and USFWS have developed a survey and monitoring protocol and schedule. The monitoring data will be shared annually with all interested parties, and permanently archived in the AGFD Heritage Data Management System.",,"sharing data --> AGFD and USFWS have developed a survey and monitoring protocol and schedule. The monitoring data will be shared annually with all interested parties, and permanently archived in the AGFD Heritage Data Management System.", ,
